currency,name,gasoline,midGrade,premium,diesel
usd,Alaska,3.385,3.615,3.826,3.540
usd,Alabama,2.735,3.162,3.548,3.397
usd,Arkansas,2.718,3.116,3.498,3.266
usd,Arizona,3.339,3.688,4.002,3.580
usd,California,4.658,4.851,5.043,5.006
usd,Colorado,2.934,3.308,3.629,3.261
usd,Connecticut,3.002,3.610,3.971,3.835
usd,District of Columbia,3.199,3.808,4.182,3.847
usd,Delaware,2.865,3.434,3.715,3.579
usd,Florida,3.097,3.535,3.853,3.661
usd,Georgia,2.893,3.319,3.715,3.555
usd,Hawaii,4.517,4.766,5.023,5.272
usd,Iowa,2.877,3.162,3.630,3.303
usd,Idaho,3.178,3.416,3.657,3.458
usd,Illinois,3.244,3.809,4.257,3.592
usd,Indiana,2.932,3.453,3.938,3.631
usd,Kansas,2.789,3.095,3.401,3.265
usd,Kentucky,2.679,3.179,3.582,3.287
usd,Louisiana,2.713,3.133,3.506,3.257
usd,Massachusetts,2.957,3.551,3.918,3.827
usd,Maryland,3.020,3.607,3.940,3.678
usd,Maine,3.026,3.570,4.014,3.962
usd,Michigan,3.033,3.577,4.109,3.511
usd,Minnesota,2.963,3.324,3.738,3.456
usd,Missouri,2.792,3.147,3.457,3.232
usd,Mississippi,2.634,3.049,3.424,3.247
usd,Montana,3.114,3.421,3.738,3.372
usd,North Carolina,2.751,3.169,3.560,3.474
usd,North Dakota,2.988,3.274,3.615,3.436
usd,Nebraska,2.929,3.162,3.603,3.274
usd,New Hampshire,2.918,3.495,3.901,3.805
usd,New Jersey,2.906,3.478,3.727,3.670
usd,New Mexico,2.832,3.221,3.522,3.386
usd,Nevada,3.733,4.039,4.303,3.728
usd,New York,3.110,3.618,3.997,3.945
usd,Ohio,2.904,3.432,3.938,3.520
usd,Oklahoma,2.664,3.022,3.326,3.094
usd,Oregon,3.716,3.920,4.165,3.839
usd,Pennsylvania,3.212,3.655,4.016,4.067
usd,Rhode Island,2.915,3.618,3.995,3.787
usd,South Carolina,2.722,3.138,3.504,3.358
usd,South Dakota,2.932,3.150,3.588,3.266
usd,Tennessee,2.701,3.107,3.494,3.372
usd,Texas,2.653,3.077,3.435,3.144
usd,Utah,3.032,3.276,3.493,3.392
usd,Virginia,2.887,3.359,3.724,3.604
usd,Vermont,3.133,3.695,4.083,3.830
usd,Washington,4.079,4.309,4.547,4.379
usd,Wisconsin,2.868,3.343,3.852,3.332
usd,West Virginia,2.850,3.221,3.649,3.601
usd,Wyoming,3.005,3.261,3.572,3.345
